"gene_id","gene_symbol","mvp.mean","mvp.dispersion","mvp.dispersion.scaled"
"ENSG00000211677.2","IGLC2",1.41949208034364,7.4847279416472,8.85071198237672
"ENSG00000211592.8","IGKC",2.66975361654435,7.22309780039597,4.04907732145682
"ENSG00000211895.5","IGHA1",0.850451868775757,6.5878959178098,11.1761748414976
"ENSG00000211899.10","IGHM",1.80352329510272,6.00367177293805,4.5639520213776
"ENSG00000163736.4","PPBP",0.322535014463745,5.97560215447722,15.9949342405593
"ENSG00000253755.1","IGHGP",0.134815767469596,5.97061632930856,16.9774281799734
"ENSG00000211893.4","IGHG2",0.24701092349944,5.89456945694123,16.7523800505458
"ENSG00000211679.2","IGLC3",0.888422624492563,5.48186405071026,9.12123254642769
"ENSG00000211896.7","IGHG1",0.231089216091472,5.08929358730758,14.3692994254951
"ENSG00000115523.17","GNLY",2.37148289516904,4.84147759421318,2.93759824347221
"ENSG00000132465.12","JCHAIN",0.637410185874635,4.71954957971537,7.70489700023834
"ENSG00000154146.13","NRGN",0.471784548492187,4.69973300562919,12.3149296425772
"ENSG00000101162.4","TUBB1",0.113308968546455,4.6261125101128,12.9985917058473
"ENSG00000168497.5","CAVIN2",0.101583994912684,4.5109035114269,12.6576497467585
"ENSG00000211898.8","IGHD",0.549037940068948,4.42609314084154,11.5256669180111
"ENSG00000107317.13","PTGDS",0.351949028816167,4.30325990119487,11.1713775403794
"ENSG00000211890.4","IGHA2",0.159198813308433,4.30026227905032,12.034291890597
"ENSG00000101335.10","MYL9",0.0180413709849552,4.25168110653915,11.8905239530251
"ENSG00000180573.10","H2AC6",0.225181987705164,4.24105898970215,11.8590895567072
"ENSG00000105374.10","NKG7",1.94453316104278,4.00230306712825,2.58505536181511
"ENSG00000120885.22","CLU",0.0727741720554159,3.92926107344895,10.9363752408142
"ENSG00000211685.3","IGLC7",0.0510052048653746,3.903480378914,10.8600815432587
"ENSG00000222037.5","IGLC6",0.0241053728584066,3.88518843954329,10.8059495768696
"ENSG00000127920.6","GNG11",0.0653712029215588,3.81830618122715,10.6080226055507
"ENSG00000169245.6","CXCL10",0.510404000244363,3.73995331091391,9.54662562582831
"ENSG00000188536.13","HBA2",0.0151729775558339,3.64254380600961,10.0878829530558
"ENSG00000271503.7","CCL5",1.60235045789196,3.61849800057865,3.25972094045783
"ENSG00000288758.2","ENSG00000288758.2",0.0230156803040229,3.59506912289533,9.9473894876778
"ENSG00000109272.4","PF4V1",0.0187018424698102,3.59110536175747,9.93565939277971
"ENSG00000204287.14","HLA-DRA",2.90797967332152,3.53209991591315,2.30191710968669
"ENSG00000211892.4","IGHG4",0.0877948582166373,3.47487211697424,9.59168634692687
"ENSG00000169704.5","GP9",0.0336253236719926,3.47089408723391,9.57991402646185
"ENSG00000113140.11","SPARC",0.0342402480749561,3.41224802303992,9.4063607081689
"ENSG00000163131.12","CTSS",2.90307683268862,3.3098599102296,1.97646031810901
"ENSG00000206172.8","HBA1",0.0404963238889932,3.30359696174172,9.08482587913108
"ENSG00000245532.11","NEAT1",2.96261869657726,3.25353105964784,1.89397018800298
"ENSG00000211897.9","IGHG3",0.141168562698121,3.24961964715647,8.92508895240696
"ENSG00000111644.8","ACRBP",0.0649263682089015,3.22521970931297,8.85288137569946
"ENSG00000082781.12","ITGB5",0.0129336376001908,3.22147727569078,8.84180626294382
"ENSG00000101439.9","CST3",2.60413736472796,3.20846205784317,1.01607286616515
"ENSG00000275302.2","CCL4",0.626484721933647,3.18488370948629,4.85357788426729
"ENSG00000278828.2","H3C10",0.0416906655355413,3.12346823769858,8.55176474012342
"ENSG00000289740.1","TALAM1",2.4841216698197,3.09563452943564,0.930833153701977
"ENSG00000088726.16","TMEM40",0.0195994576187329,3.09265251623694,8.46057071391276
